	Foreign born	Mexico	"South and 
East Asia"	Europe/ Canada	Caribbean	Central America	"South 
America"	Middle East	Sub-Saharan Africa	All other	Hispanic
California	"10,676,748"	"4,270,016"	"3,594,688"	"912,241"	"71,248"	"870,699"	"245,886"	"500,468"	"136,055"	"75,447"	"5,211,963"
Texas	"4,627,888"	"2,548,247"	"878,525"	"242,971"	"83,340"	"403,734"	"140,770"	"113,616"	"202,908"	"13,777"	"3,035,321"
New York	"4,514,054"	"232,820"	"1,136,489"	"845,996"	"1,107,513"	"273,401"	"586,212"	"170,029"	"146,645"	"14,949"	"1,613,734"
Florida	"4,088,592"	"279,187"	"372,912"	"499,639"	"1,694,635"	"371,119"	"726,139"	"89,154"	"48,305"	"7,502"	"2,344,941"
New Jersey	"1,977,241"	"117,876"	"608,555"	"328,198"	"324,056"	"146,631"	"287,310"	"94,124"	"67,128"	"3,363"	"588,563"
Illinois	"1,823,613"	"695,842"	"471,852"	"383,810"	"30,771"	"58,018"	"55,611"	"62,386"	"62,211"	"3,112"	"784,631"
Massachusetts	"1,099,417"	"16,076"	"300,382"	"270,647"	"175,970"	"80,860"	"115,556"	"47,043"	"90,224"	"2,659"	"272,906"
Georgia	"1,028,360"	"264,229"	"272,969"	"117,124"	"87,723"	"93,503"	"70,880"	"23,969"	"94,325"	"3,638"	"445,455"
Virginia	"1,014,853"	"52,957"	"371,745"	"123,260"	"39,055"	"170,860"	"99,274"	"75,691"	"79,481"	"2,530"	"262,872"
Washington	"978,893"	"236,907"	"389,551"	"200,447"	"6,737"	"33,567"	"21,177"	"30,700"	"40,306"	"19,501"	"277,211"
Maryland	"912,603"	"40,704"	"265,506"	"97,336"	"68,357"	"181,445"	"69,694"	"41,699"	"144,154"	"3,708"	"290,506"
Arizona	"908,064"	"509,572"	"154,783"	"118,385"	"12,908"	"30,502"	"18,785"	"35,230"	"23,306"	"4,593"	"552,982"
Pennsylvania	"813,562"	"50,310"	"302,717"	"191,492"	"99,196"	"29,713"	"49,057"	"40,628"	"47,765"	"2,684"	"179,219"
North Carolina	"794,959"	"242,976"	"181,563"	"109,993"	"38,656"	"101,688"	"48,495"	"32,847"	"36,341"	"2,400"	"383,320"
Michigan	"655,622"	"75,307"	"217,400"	"177,246"	"14,798"	"12,374"	"14,673"	"116,282"	"25,193"	"2,349"	"102,479"
Nevada	"559,295"	"221,024"	"153,035"	"54,124"	"22,158"	"53,772"	"16,997"	"15,336"	"20,863"	"1,986"	"296,954"
Colorado	"533,747"	"230,924"	"112,486"	"88,186"	"8,041"	"30,391"	"18,134"	"12,228"	"29,209"	"4,148"	"269,356"
Connecticut	"517,292"	"25,058"	"110,179"	"148,833"	"82,699"	"32,167"	"80,812"	"18,571"	"17,262"	"1,711"	"139,924"
Ohio	"500,173"	"43,431"	"184,711"	"130,488"	"15,000"	"15,394"	"19,167"	"34,678"	"55,110"	"2,194"	"73,825"
