interest_id,interest_name
6003349442621,Entertainment
6003142505790,Facebook
6003342621987,Social network
6003167425934,Shopping and fashion
6003985771306,Technology
6012547807252,Hobbies and activities
6003045600844,Instant messaging
6009177290315,Facebook Messenger
6008803895164,Sports and outdoors
6003269553527,Sports
6008740787350,Business and industry
6003716669862,Consumer electronics
6003263791114,Shopping
6012684376438,Family and relationships
6003188427578,Facebook for Android
6009248606271,Food and drink
6003020834693,Music
6003070856229,Games
6003266061909,Food
6003139266461,Movies
6004160395895,Travel
6003476182657,Family
6002991736368,Reading
6003186556105,Love
6003224441249,Televisions
6003404634364,Computers
6003940339466,Video games
6002971085794,Mobile phones
6003029869785,Arts and music
6003456388203,Clothing
6003327060545,Education
6002867432822,Beauty
6004100985609,Friendship
6003346592981,Online shopping
6003133486214,Vehicles
6003670602220,Instagram
6003384248805,Fitness and wellness
6003117496988,
6003343846195,Life
6003176678152,Automobiles
6003329354837,Time
6003402305839,Business
6003107902433,Association football (Soccer)
6003130044117,Finance
6002932652762,World
6003172932634,TV
6003649983713,Design
6003299204611,Beverages
6003539884903,Android (operating system)
6010924093432,Live events
6003899195666,Photography
6003074954515,Sales
6003780008652,Online
6003348604581,Fashion accessories
6011515350975,Politics and social issues
6003582492638,Happiness
6002839660079,Cosmetics
6003115458342,Google Play
6003332483177,Music videos
6003348453981,Shoes
6003345696474,Child
6004037726009,Pets
6003423416540,Free software
6003243461213,Human
6003513539242,Price
6003462707303,Books
6003525810694,Video
6003290811111,Current events
6003231864010,Photograph
6021349682746,Mobile app
6003341579196,Pop music
6005609368513,Software
6002880533372,Chang'e
6003582732907,Rock music
6003289911338,Smartphones
6003188098201,Woman
6004110675424,Day
6003423342191,Dance
6003318587288,Image
6004043913548,Newspapers
6003280762643,Country
6003143720966,Personal finance
6003371616940,Brand
6003215957745,Application software
6003702989291,Website
6003430696269,Tourism
6003393912731,People
6003584283289,WhatsApp
6003659420716,Cooking
6003696621690,Gratitude
6003436950375,Restaurants
6003359996821,Nature
6009422452499,Home and garden
6002986908368,House
6003248297213,Product (business)
6002991239659,Motherhood
6011366104268,Women's clothing
6003373017775,United States
6003753105091,Email
6003418314031,Home
6003246361542,Download
6003573036687,Electronics
6003902907066,Li Ke
6003054884732,Coupons
6003201804413,Color
